id,product_display_name,brand_name,master_category,sub_category,article_type,gender,color,season,usage,fit,pattern,shape,occasion,sleeve_styling,sleeve_length,fabric,neck,is_jewellery,product_description1,style_image,landing_page_url
10418,united colors of benetton women solid black tops,united_colors_of_benetton,apparel,topwear,tops,women,black,fall,casual,none,solid,none,casual,cap_sleeves,short_sleeves,blended,scoop_neck,false,"composition black sleeveless top made of 100% cotton, with a crochet bust panel, buttoned front placket and has a lace below the bust line  fitting comfort  wash care delicate machine wash at 30 degrees using mild detergent do not dry clean do not tumble dry, wring, scrub or bleach dry flat in shade warm iron do not iron directly on print/embroidery  heightened style is what this top from united colors of benetton exudes. perfect for those who never compromise on style and comfort, this crochet top exudes feminity in all sense of the term and makes for a perfect winter wear. team this with slim fit jeans, sandals and long earnings for that cool chic look.  model statistics the model wears size m in dresses height-5.8', chest-33""",http://assets.myntassets.com/v1/images/style/properties/1113c06f2c5a25cbe7b7c3b41caa8fb9_images.jpg,Tops/United-Colors-of-Benetton/United-Colors-of-Benetton-Women-Solid-Black-Tops/10418/buy
10405,united colors of benetton women top black top,united_colors_of_benetton,apparel,topwear,tops,women,black,fall,casual,none,solid,none,casual,no_sleeves,sleeveless,blended,scoop_neck,false,"composition black u-neck sleeveless top made of 60% cotton and 40% modal, electropleated from the bust line down to the broad hem and has a cloth-buttoned back neck  fitting comfort  wash care delicate machine wash at 30 degrees using mild detergent do not dry clean do not tumble dry, wring, scrub or bleach dry flat in shade warm iron do not iron directly on print/embroidery  flaunt your feminity in style with this black top from united colors of benetton. the electropleats from the bust line to the broad hem and the buttoned back neck together redefine your feminine side with much elan. pair this with jeans, heeled sandals and long earrings for a chic look.  model statistics the model wears size m in t-shirts height-5.8', chest-33"" ",http://assets.myntassets.com/v1/images/style/properties/951a0d0de05f4817448f39fbf0c631e8_images.jpg,Tops/United-Colors-of-Benetton/United-Colors-of-Benetton-Women-Top-Black-Top/10405/buy
28455,urban yoga women black skirt with leggings,urban_yoga,apparel,bottomwear,skirts,women,black,summer,sports,none,solid,none,none,none,none,none,none,false,"compositionblack skirt with leggings attached inside made of 95% cotton and 5% lycra, has an elasticated waistband and brand logo appliqued on the left sidefitregularwash carehand or machine wash cold with a mild detergentwash dark colours separatelytumble dry lowdry in shadedo not bleachwarm ironpamper your legs and give everyday looks a sophisticated touch with this skirt and leggings combination from urban yoga. the cotton/lycra blend ensures that the leggings stay snug on your legs and protect you from the winter chill.model statisticsthe product is a size 28 on a model of height 5'8"" and waist 26""",http://assets.myntassets.com/v1/images/style/properties/e114f2eaddc54f934a088c287665494e_images.jpg,Skirts/Urban-Yoga/Urban-Yoga-Women-Black-Skirt-With-Leggings/28455/buy
18712,arrow women solid black skirt,arrow_woman,apparel,bottomwear,skirts,women,black,fall,formal,none,solid,none,formal,none,none,none,none,false,"composition black knee length skirt made of 63% polyester, 34% viscose and 3% lycra, has two front and two back pleats, size adjusting buttoned tabs on back, centre back opening with zipper and hook and eye fastening, centre back seam ending in slit at hem  fit slim  wash care machine wash in cold water wash dark colours separately do not bleach, line dry in shade warm iron  this skirt is a classic formal option for the working woman who wants to keep hold of her femininity at work.  worn with a crisp white shirt, this outfit will show the world you mean business.  try accessorising your shirt with a pretty silk scarf in place of a tie to softly frame your face.  model statistics the product is a size m on a model of height 5.8"" and waist 26""",http://assets.myntassets.com/v1/images/style/properties/dbf6d1a8cfdb44006307b03076c5dbe1_images.jpg,Skirts/Arrow-Woman/Arrow-Women-Solid-Black-Skirt/18712/buy
18713,arrow woman solid grey skirt,arrow_woman,apparel,bottomwear,skirts,women,grey,fall,formal,none,solid,none,formal,none,none,none,none,false,"composition dark grey knee length skirt made of 63% polyester, 34% viscose and 3% lycra, has two front and two back pleats, size adjusting buttoned tabs on back, centre back opening with zipper and hook and eye fastening, centre back seam ending in slit at centre back  fit slim  wash care machine wash in cold water wash dark colours separately do not bleach line dry in shade warm iron  this skirt is a classic formal option for the working woman who wants to keep hold of her femininity at work.  worn with a crisp white shirt, this outfit will show the world you mean business.  try accessorising your shirt with a pretty silk scarf in place of a tie to softly frame your face.  model statistics the product is a size m on a model of height 5' 8"" and waist 26""",http://assets.myntassets.com/v1/images/style/properties/8fa6027ba23e542acc8f9e4875a46dc7_images.jpg,Skirts/Arrow-Woman/Arrow-Woman-Solid-Grey-Skirt/18713/buy
10403,jealous 21 women uri purple tops,jealous_21,apparel,topwear,tops,women,purple,fall,casual,none,printed,none,casual,flutter_sleeves,short_sleeves,blended,v_neck,false,"composition purple top made of 100% viscose, has a v-neck with printed frills falling over the neckline and extending till the back, and short sleeves  fitting comfort  wash care delicate machine wash at 30 degrees using mild detergent do not dry clean do not tumble dry, wring, scrub or bleach dry flat in shade warm iron do not iron directly on print/embroidery  flaunt your feminity in style with this fashionable top from jealous 21. the collar shawl drapes across your shoulders enhancing the femininity of this top, while the the fabric keeps you fresh and comfortable all day. team this with slim fit jeans and heeled sandals for that uber cool look.  model statistics the model wears size m in t-shirts height-5.8'', chest-33”",http://assets.myntassets.com/v1/images/style/properties/9b33efb2fa3d263f14dd80f0ed064934_images.jpg,Tops/Jealous-21/Jealous-21-Women-Uri-Purple-Tops/10403/buy
10428,united colors of benetton women solid black tops,united_colors_of_benetton,apparel,topwear,tops,women,black,fall,casual,none,solid,none,casual,no_sleeves,sleeveless,blended,cowl_neck,false,"composition black sleeveless top made of100% cotton, with a falling cowl neck fitting comfort  wash care delicate machine wash at 30 degrees using mild detergent do not dry clean do not tumble dry, wring, scrub or bleach dry flat in shade warm iron do not iron directly on print/embroidery  flaunt your feminity in style with this black top from united colors of benetton. the falling neckline redefines your feminine side with much elan. pair this with jeans, heeled sandals and long earrings for a chic look.  model statistics the model wears size m in t-shirts height-5.8', chest-33""",http://assets.myntassets.com/v1/images/style/properties/c1af4a588041e763807eb8bfa0487f83_images.jpg,Tops/United-Colors-of-Benetton/United-Colors-of-Benetton-Women-Solid-Black-Tops/10428/buy
10336,united colors of benetton women stripes black tops,united_colors_of_benetton,apparel,topwear,tops,women,black,fall,casual,none,striped,none,casual,puff_sleeves,short_sleeves,blended,v_neck,false,"compositionblack top made of blended cotton fabric, with a plunging v-neck, dolman sleeves and has the top half striped with grey fitregularwash caredelicate machine wash at 30 degrees using mild detergentdo not dry cleando not tumble dry, wring, scrub or bleachdry flat in shadewarm irondo not iron directly on print/embroideryheightened style is what this top from united colors of benetton exudes. perfect for those who never compromise on style and comfort, this top exudes feminity in all sense of the term and makes for a perfect winter wear. team this with slim fit jeans, sandals and long earnings for that cool chic look.model statisticsthe product is a size m on a model of height 5'8"" and chest 33""",http://assets.myntassets.com/v1/images/style/properties/89d8a70f2bb90ff6f2b5d12f13d99670_images.jpg,Tops/United-Colors-of-Benetton/United-Colors-of-Benetton-Women-Stripes-Black-Tops/10336/buy
12824,nike women flyclave black casual shoes,nike,footwear,shoes,casual_shoes,women,black,fall,casual,none,none,none,none,none,none,none,none,false,"the nike flyclave leather is a no-fuss sneaker with an ultra slim profile. it features a leather and suede upper, an extremely sleek eva midsole and a rubber outsole, making it a great tennis shoe.upperleather and suede upper for durability and comfort perforated upper in swoosh pattern on the side panels and on the upper side foot for maximum ventilation symmetrical lacing system for snug fit and protection from chaffing cotton twill laces for comfort and durability lightly padded tongue for enhanced comfort reinforced suede overlay along toe guard to protect the forefootmidsolecushioned footbed for comfort and impact protection light eva midsole for durability and shock absorptionoutsolehigh quality rubber outsole for enhanced durability herringbone pattern on outsole for maximum stability and tractionwash caredo not machine washremove dust and dirt with dry clean cloth",http://assets.myntassets.com/v1/images/style/properties/aed4f15d007abfad589f768992ac3dc0_images.jpg,Casual-Shoes/Nike/Nike-Women-Flyclave-Black-Casual-Shoes/12824/buy
10182,puma women style cat white casual shoes,puma,footwear,shoes,casual_shoes,women,white,fall,casual,none,none,none,none,none,none,none,none,false,"the style cat draws inspiration from race cars to fuse lightweight comfort, style and speed. this stylish sneaker combines simplicity and minimalistic design to make it an absolutely perfect footwear.  upper leather and synthetic leather upper fur durability, comfort and style puma cat logo detail and formstripe for style central lacing system for a snug, customised fit lightly padded tongue and collar for in-step comfort  midsole cushioned textile footbed for all-day comfort full length phylon midsole for lightweight support   outsole textured outsole made of durable rubber with brand name for absolute grip and traction  ",http://assets.myntassets.com/v1/images/style/properties/37f9b90506b1ab65f6c78664f6130c2a_images.jpg,Casual-Shoes/Puma/Puma-Women-Style-Cat-White-Casual-Shoes/10182/buy
