id,product_display_name,brand_name,master_category,sub_category,article_type,gender,color,season,usage,fit,pattern,shape,occasion,sleeve_styling,sleeve_length,fabric,neck,is_jewellery,product_description1,style_image,landing_page_url
10004,nike men as 7 sw temp grey shorts,nike,apparel,bottomwear,shorts,men,grey,fall,sports,none,solid,none,none,none,none,none,none,false,"compositiongrey shorts made of 86% polyester and 14% spandex, has an elastic waist with interior drawcord and a mesh side panel  fitting comfort  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  scorers and defenders alike require maximum range of motion to lead their teams to victory, and they'll get plenty of it in these nike shorts. with sweat-wicking fabric and strategic ventilation, these shorts keep them focused on the big win.",http://assets.myntassets.com/v1/images/style/properties/9556d66f526ab7923d599fdddee1e4b9_images.jpg,Shorts/Nike/Nike-Men-As-7-Sw-Temp-Grey-Shorts/10004/buy
10235,carrera men hexagaon dial black watches,carrera,accessories,watches,watches,men,black,winter,casual,none,none,none,none,none,none,none,none,false,"carrera has been in the watch industry for more than five decades and they have proven themselves as     masters in the art of     creating high quality timepieces.     the new range of carrera watches are a fresh take on their classic drivers&  rsquo  and racers&  rsquo  watch models and perfect for urban wear.case diameter: 38 mmcase thickness: 15 mmdial shape: octagonstainless steel case, with black rubber strap that has brand inscription on the inner side for enhanced durability, comfort and styletang clasp with brand inscriptionfixed stainless steel bezel for added durability and stylewhite busy dial with metallic numbers in roman and metallic handsmetallic crown to adjust time/date/daywater resistant at 100 meters, making it suitable for scuba diving",http://assets.myntassets.com/v1/images/style/properties/8157349922522c4692b446427fa26c2b_images.jpg,Watches/Carrera/Carrera-Men-Hexagaon-Dial-Black-Watches/10235/buy
10093,reebok men racehound white sports shoes,reebok,footwear,shoes,sports_shoes,men,white,fall,sports,none,none,none,none,none,none,none,none,false,"the reebok racehound is a versatile running shoe that features ample ventilation and offers lightweight comfort, keeping your feet fresh and comfortable all day. added to this is the plush dmx ride cushioning that makes it an all the more comfortable, smooth and flexible ride. wear them when you want to run or jog or use them as casual wear.  upper breathable mesh upper for ample ventilation and reduced irritation synthetic overlays for added shoe structure, durability and style lace-up system with synthetic laces for a snug, customized fit lushly padded tongue and well-cushioned collar for in-step comfort brand name on tongue and behind collar  midsole injection moulded midsole for lightweight responsive cushioning and shock absorption dmx ride foam cushioning for all-day comfort mesh lining for increased ventilation and comfort  outsole non marking tpr outsole for better shock absorption and durability waffle-pattern grip for excellent traction scooped heel for extra cushioning and comfort flex grooves for ease of movement  shoe care wipe surface with soft, clean, dry cloth to remove dust do not machine wash do not store in direct sunlight",http://assets.myntassets.com/v1/images/style/properties/0c09e6d84d5a38033dc6574465a3f5af_images.jpg,Sports-Shoes/Reebok/Reebok-Men-Racehound-White-Sports-Shoes/10093/buy
10083,reebok men hanavi ii green flip flops,reebok,footwear,flip_flops,flip_flops,men,green,fall,casual,none,none,none,none,none,none,none,none,false,"when the heart desires utmost style and comfort, you shouldn't deprive it of such pleasure! the reebok hanavi 2 flip-flops offer a fantastic look coupled with unbelievable all-day comfort. if you want to look awesome and feel great, they are your best bet. team them with jeans or shorts for a perfectly relaxed look. it was never easier to look spectacular, cool and so wow! upperwide rubber straps in thong style for durability and comfortrubber toe separator for maximum comfort and durabilitybrand tab on strapmidsolecushioned footbed for all-day comfortbranding on footbedoutsoletpr outsole for better shock absorption and durabilityhorizontal grooves all over the outsole for better traction on all surfacesshoe carewipe surface with soft, clean, dry cloth to remove dustdo not machine washdo not store in direct sunlight",http://assets.myntassets.com/v1/images/style/properties/859b90da56eca0b45ca6022f2c6ce9d7_images.jpg,Flip-Flops/Reebok/Reebok-Men-Hanavi-II-Green-Flip-Flops/10083/buy
10021,nike men as woven shor white shorts,nike,apparel,bottomwear,shorts,men,white,spring,sports,none,solid,none,none,none,none,none,none,false,"composition white shorts made of 100% polyester, with in-built boxers and has an elastic waist with drawcord  fitting comfort  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  built with the breathability and zero-distraction fit athletes demands for focus, these nike running shorts come in a front-to-back color-block design, including hi-vis features for night workouts. these high-performance shorts feature a supportive two-in-one cut built with fabric that rapidly moves sweat away from the body. ",http://assets.myntassets.com/v1/images/style/properties/434ee4b4ee8cc7d9ed0f2e7e975960d8_images.jpg,Shorts/Nike/Nike-Men-As-Woven-Shor-White-Shorts/10021/buy
10192,esprit men avalance black steel watches,esprit,accessories,watches,watches,men,steel,winter,casual,none,none,none,none,none,none,none,none,false,"taking traditional designs and giving it modern twist is what makes esprit watches timeless timepieces. this classic avalance analog wrist watch from esprit is no exception. contemporary and trendy, it&  rsquo s an affordable timepiece with an exquisite design that highlights your individuality.   case diameter: 44 mm case thickness: 12 mm dial shape: round  stainless steel case with a fixed bezel for added durability, style and comfort  leather strap with buckle clasp durable, scratch-resistant mineral crystal glass  black dial with embossed hour markings and numbered 12 o&  rsquo  clock marking in silver, minute marking in silver and chronograph mentioning days of the week and 12-24 hour time display quartz movement of time display  screw to reset time and day solid case back for enhanced durability water resistance up to 50 meters that allows you to use it when swimming, but not diving ",http://assets.myntassets.com/v1/images/style/properties/a4025cc617a1d4dd282961461b9e682a_images.jpg,Watches/ESPRIT/Esprit-Men-Avalance-Black-Steel-Watches/10192/buy
10012,nike men's breakli navy blue track pants,nike,apparel,bottomwear,track_pants,men,navy_blue,fall,sports,none,none,none,none,none,none,blended,none,false,"composition blue tracks made of 100% cotton with green stitch detailing on the sides, elastic waist with drawcord, a discreet pocket at the back and two side pockets  fitting comfort  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  built with the breathability and zero-distraction fit athletes demands for focus, the nike running shorts come in a front-to-back color-block design, including hi-vis features for night workouts. these high-performance shorts feature a supportive two-in-one cut built with fabric that rapidly moves sweat away from the body.",http://assets.myntassets.com/v1/images/style/properties/0ea46424229645fa229d38b0eff4afc5_images.jpg,Track-Pants/Nike/Nike-Mens-Breakli-Navy-Blue-Track-Pants/10012/buy
10194,carrera men sqaure dial leather strap black watches,carrera,accessories,watches,watches,men,black,winter,casual,none,none,none,none,none,none,none,none,false,"carrera has been in the watch industry for more than five decades and they have proven themselves as     masters in the art of     creating high quality timepieces.     the new range of carrera watches are a fresh take on their classic drivers&  rsquo  and racers&  rsquo  watch models and perfect for urban wear.case diameter: 39 mmcase thickness: 9 mmrectangle: squarestainless steel case, with leather straptang clasp with brand inscription fixed stainless steel bezel for added durability and styleblack busy dial with metallic numbers three sub dials with stopwatch readingchronograph for easy reading of timemetallic crown to adjust time/date/daywater resistant at 100 meters, making it suitable for scuba diving",http://assets.myntassets.com/v1/images/style/properties/c3d33dff0b91fd161e62177df1db02ee_images.jpg,Watches/Carrera/Carrera-Men-Sqaure-dial-leather-strap-Black-Watches/10194/buy
10018,nike men black three quarter track pants,nike,apparel,bottomwear,shorts,men,black,fall,sports,none,none,none,none,none,none,none,none,false,"black three quarter length pants with dri-fit technology, has an elasticated waistband with inner drawstring fastening, insert pockets at sides, printed branding at left thigh, darts at knees, and panelled back legs",http://assets.myntassets.com/v1/images/style/properties/Nike-Men-Black-Three-Quarter-Track-Pants_38fb020e318c77b678317fe9d16695a0_images.jpg,Shorts/Nike/Nike-Men-Black-Three-Quarter-Track-Pants/10018/buy
10032,nike men as fcb core t black t-shirts,nike,apparel,topwear,tshirts,men,black,fall,sports,regular_fit,printed,none,none,none,short_sleeves,synthetic,round_neck,false,"composition black crew neck t-shirt made of 100% cotton, with short sleeves, fabric tape on inseam of the neckline, has graphic print with metallic tints on the chest and barcelona badge printed on left sleeve  fitting regular  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  if your heart beats for the barcelona team, then this t-shirt is a msut-have in your sports collection. team this with shorts and soccer cleats for that ultimate look and feel of the game. ",http://assets.myntassets.com/v1/images/style/properties/826d8f5d5e64a05b51c0afd3d5adb1ba_images.jpg,Tshirts/Nike/Nike-Men-AS-FCB-Core-T-Black-T-shirts/10032/buy
