id,product_display_name,brand_name,master_category,sub_category,article_type,gender,color,season,usage,fit,pattern,shape,occasion,sleeve_styling,sleeve_length,fabric,neck,is_jewellery,product_description1,style_image,landing_page_url
10003,nike women as nike eleme white t-shirt,nike,apparel,topwear,tshirts,women,white,fall,sports,none,none,none,none,none,none,none,none,false,"composition white high collared t-shirt made of 92% nylon and 8% spandex, has a half-length zipper, raglan sleeves with flat-seam design for range of motion and reduced irritation, and a reflective loop on centre-back neck to keep media-player cords out of the way  fitting comfort  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  this cold-weather running shirt is made of soft, suede dri-fit fabric that wicks sweat away from the body to the fabric's surface, where it quickly evaporates. spandex fibres allow it to stretch for better mobility and a comfortable, athletic fit.   the element half-zip features a fitted design that stays out of your way as you run. ergonomic seams map the natural contours of your body to help reduce friction and chafing while providing great range of motion. a stand-up collar delivers extra warmth and protection when you need it, and mesh underarm vents increase airflow in this high-heat area to help you stay dry and comfortable.   rough on the weather, soft on you, the nike element half-zip women's running top helps you stay dry, comfortable and distraction-free from the first mile to the last. ",http://assets.myntassets.com/v1/images/style/properties/2fc776b82eaaf82497f1a13cf63eb073_images.jpg,Tshirts/Nike/Nike-Women-As-Nike-Eleme-White-T-Shirt/10003/buy
10004,nike men as 7 sw temp grey shorts,nike,apparel,bottomwear,shorts,men,grey,fall,sports,none,solid,none,none,none,none,none,none,false,"compositiongrey shorts made of 86% polyester and 14% spandex, has an elastic waist with interior drawcord and a mesh side panel  fitting comfort  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  scorers and defenders alike require maximum range of motion to lead their teams to victory, and they'll get plenty of it in these nike shorts. with sweat-wicking fabric and strategic ventilation, these shorts keep them focused on the big win.",http://assets.myntassets.com/v1/images/style/properties/9556d66f526ab7923d599fdddee1e4b9_images.jpg,Shorts/Nike/Nike-Men-As-7-Sw-Temp-Grey-Shorts/10004/buy
10005,nike men as ss trainin blue t-shirts,nike,apparel,topwear,tshirts,men,blue,fall,sports,regular_fit,solid,none,none,none,short_sleeves,synthetic,round_neck,false,"compositionblue t-shirt made of 100% polyester dri-fit fabric, has a round neck, short raglan sleeves, black panel on the front with diagonal grey mesh panel and blue panel towards the hemline, mesh panels on the sides, printed seal on the upper back neck and printed swoosh logo on the upper right chest fittingregularwash caremachine wash cold with like coloursdo not bleach tumble dry on lowcool iron onlydo not dry cleando not iron on print or embroiderytake your training to the next level in this blue t-shirt from nike. the mesh dri-fit fabric pulls sweat away from the skin to help keep you cool and comfortable, while the sporty design with the raglan sleeves gives an added edge. team this with track pants and performance shoes so that you can train longer and better.",http://assets.myntassets.com/v1/images/style/properties/5dc5a3265be8eeefdbd7c06e43ff6cb9_images.jpg,Tshirts/Nike/Nike-Men-As-Ss-Trainin-Blue-T-Shirts/10005/buy
10006,nike men as t90 black tshirts,nike,apparel,topwear,tshirts,men,black,fall,sports,regular_fit,solid,none,none,none,short_sleeves,synthetic,round_neck,false,"compositionblack t-shirt made of 65% cotton and 35% polyester, has a round ribbed neckline, short sleeves, grey panel detailing on the side seams, rubber print swoosh logo on the upper right chest and t90 transferred onto the upper left chestfittingregularwash caremachine wash warm with like colourswash inside outdo not bleach tumble dry on lowwarm irondo not dry cleangear up for an aggressive game of football in this black t90 t-shirt from nike. the classic design is updated with grey panel detailing and bold t90 and nike logos, while the fabric keeps you fresh and comfortable during extended training sessions. team it  with track pants and performance shoes.",http://assets.myntassets.com/v1/images/style/properties/74f42a1523d450362f6579f96b64b608_images.jpg,Tshirts/Nike/Nike-Men-AS-T90-Black-Tshirts/10006/buy
10007,nike women as trophy swo white t-shirts,nike,apparel,topwear,tshirts,women,white,fall,sports,regular_fit,printed,none,none,none,short_sleeves,synthetic,round_neck,false,"composition white round neck t-shirt with short sleeves, made of  100% cotton, has fabric tape detailing on the inseam of the neckline, graphic print on the front and nike swoosh printed near the hem  fitting regular  wash care machine wash in cold water at 30 degrees with like colours do not use bleach or softeners remove immediately do not allow to lay on itself when wet tumble dry low cool iron do not iron directly on print/trims/ logo do not dry clean  you know how they say, “when in doubt, wear white”.... this white t-shirt from nike takes this saying and makes it better by adding funky graphic print on the front! the multi coloured print is eye-catching and funky, which will make you stand out in a sea of people! plus, the cotton fabric will keep you comfortable all day long. team it with jeans or shorts and casual shoes to look fab.",http://assets.myntassets.com/v1/images/style/properties/54315bd731592e29d830218599d0a974_images.jpg,Tshirts/Nike/Nike-Women-As-Trophy-Swo-White-T-Shirts/10007/buy
10008,nike men town navy blue t-shirts,nike,apparel,topwear,tshirts,men,navy_blue,fall,sports,regular_fit,printed,none,none,none,short_sleeves,synthetic,round_neck,false,"composition navy blue round neck t-shirt with short sleeves, made of  100% cotton, has fabric tape detailing on the inseam of the neckline, graphic print on the front, and nike swoosh printed on the left sleeve  fitting regular  wash care machine wash in cold water at 30 degrees with like colours do not use bleach or softeners remove immediately do not allow to lay on itself when wet tumble dry low cool iron do not iron directly on print/trims/ logo do not dry clean  when you're in the mood to look casual and hip, try this navy blue t-shirt from nike. you just cannot go wrong in this tee, what with its clean silhouette and attractive graphic print. perfect for all-day wear. pair it with jeans or shorts and walk around in style.",http://assets.myntassets.com/v1/images/style/properties/11208e022cee193bc9ce69ae7601d11e_images.jpg,Tshirts/Nike/Nike-Men-Town-Navy-Blue-T-Shirts/10008/buy
10009,nike men town round red neck t-shirts,nike,apparel,topwear,tshirts,men,red,fall,sports,regular_fit,printed,none,none,none,short_sleeves,synthetic,round_neck,false,"composition red round neck t-shirt with short sleeves, made of  100% cotton, has fabric tape detailing on the inseam of the neckline, graphic print on the front and nike swoosh printed on the left sleeve  fitting regular  wash care machine wash in cold water at 30 degrees with like colours do not use bleach or softeners remove immediately do not allow to lay on itself when wet tumble dry low cool iron do not iron directly on print/trims/ logo do not dry clean  when you're in the mood to look casual and hip, try this red t-shirt from nike. you just cannot go wrong in this tee, what with its clean silhouette and attractive graphic print. perfect for all-day wear. pair it with jeans or shorts and walk around in style.
441200-063",http://assets.myntassets.com/v1/images/style/properties/c683c989cc53d172a8d9b175d75d1294_images.jpg,Tshirts/Nike/Nike-Men-Town-Round-Red-Neck-T-Shirts/10009/buy
10010,nike men as showdown f black t-shirts,nike,apparel,topwear,tshirts,men,black,fall,sports,regular_fit,printed,none,none,none,short_sleeves,synthetic,v_neck,false,"composition black v-neck t-shirt with short sleeves, made of  88% polyester and 12% spandex, graphic print on the front, mesh panel at the back of the neck,  nike swoosh printed on the left chest, brand tab appliqued at the hem, and engineered with dri-fit technology  fitting regular  wash care machine wash in cold water at 30 degrees with like colours do not use bleach or softeners remove immediately do not allow to lay on itself when wet tumble dry low cool iron do not iron directly on print/trims/ logo donot dry clean  whether you're playing at wimbledon or in your local park, this black t-shirt from nike will give you the comfort and flexibility you require during your matches. the mesh panel at the back ensures better breathability during games, and the eye-catching graphic print ensures that you are the centre of attention. engineered with nike's dri fit technology, it wicks away sweat to keep you dry and comfortable during the game. team the tee with comfortable tracks or shorts when you're ruling the court, or with jeans for casual outings.",http://assets.myntassets.com/v1/images/style/properties/a062e261b6d3e1349a6d2a6aa7371669_images.jpg,Tshirts/Nike/Nike-Men-As-Showdown-F-Black-T-Shirts/10010/buy
10011,nike men grey melange track pants,nike,apparel,bottomwear,track_pants,men,grey_melange,summer,sports,none,none,none,sports,none,none,cotton,none,false,"grey melange knit track pants, has an elasticated waistband with inner drawstring fastening, insert pockets at sides, embroidered branding at left thigh, twin tape detail along out seam, and velcro fastened insert pocket at back right side with brand label above",http://assets.myntassets.com/v1/images/style/properties/Nike-Men-Grey-Melange-Track-Pants_ec04f71d66884cf587041154b74517c2_images.jpg,Track-Pants/Nike/Nike-Men-Grey-Melange-Track-Pants/10011/buy
10012,nike men's breakli navy blue track pants,nike,apparel,bottomwear,track_pants,men,navy_blue,fall,sports,none,none,none,none,none,none,blended,none,false,"composition blue tracks made of 100% cotton with green stitch detailing on the sides, elastic waist with drawcord, a discreet pocket at the back and two side pockets  fitting comfort  wash care machine wash cold at 30 degrees with like colours do not bleach tumble dry low remove immediately/do not allow to lay on itself when wet cool iron, but do not iron on design do not dry clean  built with the breathability and zero-distraction fit athletes demands for focus, the nike running shorts come in a front-to-back color-block design, including hi-vis features for night workouts. these high-performance shorts feature a supportive two-in-one cut built with fabric that rapidly moves sweat away from the body.",http://assets.myntassets.com/v1/images/style/properties/0ea46424229645fa229d38b0eff4afc5_images.jpg,Track-Pants/Nike/Nike-Mens-Breakli-Navy-Blue-Track-Pants/10012/buy
